client_id,month,revenue,traffic_gb,n_tickets,debt,n_sim
CL000001,2024-12,1780588.36,1712.3,0,0.0,68
CL000002,2024-12,2088305.12,2202.5,0,0.0,101
CL000004,2024-12,108961.55,119.6,0,0.0,16
CL000006,2024-12,128706.06,153.2,0,0.0,24
CL000007,2024-12,248463.7,200.5,0,0.0,9
CL000008,2024-12,373252.06,382.2,0,0.0,51
CL000010,2024-12,18586.59,21.2,0,812.37,7
CL000011,2024-12,576622.76,570.6,0,0.0,247
CL000012,2024-12,65731.49,83.9,0,0.0,9
CL000013,2024-12,108220.19,112.7,0,0.0,23
CL000014,2024-12,177117.93,143.0,0,0.0,10
CL000015,2024-12,142837.98,165.6,0,0.0,11
CL000016,2024-12,130207.67,113.6,0,0.0,6
CL000017,2024-12,1109518.54,1314.8,0,0.0,116
CL000020,2024-12,1883336.44,1723.5,0,0.0,162
CL000021,2024-12,331723.8,283.6,0,0.0,45
CL000024,2024-12,552628.41,584.1,0,0.0,187
CL000025,2024-12,240309.54,254.7,1,0.0,208
CL000026,2024-12,479189.16,521.6,0,0.0,58
CL000027,2024-12,159714.09,148.7,0,0.0,8
CL000028,2024-12,136326.4,152.6,0,0.0,15
CL000030,2024-12,807786.12,853.9,0,0.0,251
CL000031,2024-12,87991.01,98.5,0,0.0,10
CL000033,2024-12,107824.53,126.3,0,0.0,5
CL000034,2024-12,521065.31,477.0,2,0.0,84
CL000036,2024-12,495458.97,511.1,0,0.0,272
CL000037,2024-12,38630.78,38.6,0,0.0,21
CL000038,2024-12,111644.52,110.2,0,0.0,17
CL000039,2024-12,657210.9,643.6,1,725.44,121
CL000040,2024-12,243414.27,203.8,2,0.0,9
CL000041,2024-12,129788.25,143.3,0,0.0,20
CL000042,2024-12,1671584.67,1894.1,0,0.0,95
CL000044,2024-12,796209.23,740.7,1,0.0,272
CL000045,2024-12,429515.04,521.5,0,0.0,61
CL000046,2024-12,579976.8,565.1,1,0.0,242
CL000047,2024-12,306810.19,315.0,0,0.0,190
CL000051,2024-12,462670.59,474.2,0,0.0,112
CL000052,2024-12,691258.09,693.4,0,0.0,122
CL000054,2024-12,355270.84,341.7,0,0.0,200
CL000055,2024-12,244928.07,255.4,0,0.0,20
CL000056,2024-12,328715.36,326.3,0,0.0,226
CL000057,2024-12,601974.57,587.0,0,0.0,131
CL000058,2024-12,64697.66,68.3,2,0.0,25
CL000059,2024-12,129436.2,111.1,0,0.0,20
CL000060,2024-12,29998.73,23.3,4,86.1,4
CL000061,2024-12,705008.87,705.7,0,0.0,132
CL000062,2024-12,122610.45,93.8,0,0.0,17
CL000064,2024-12,414469.05,350.3,0,0.0,165
CL000066,2024-12,36097.96,30.1,0,0.0,20
CL000069,2024-12,392978.39,456.5,1,0.0,130
CL000070,2024-12,121565.85,129.0,0,0.0,173
CL000072,2024-12,124789.32,126.5,1,0.0,126
CL000073,2024-12,682189.79,663.3,0,0.0,258
CL000074,2024-12,1115616.49,982.7,1,0.0,55
CL000076,2024-12,45016.08,53.1,0,0.0,17
CL000079,2024-12,303855.11,409.0,0,0.0,201
CL000080,2024-12,740394.87,764.4,0,0.0,184
CL000082,2024-12,621020.24,623.8,0,0.0,137
CL000085,2024-12,1352578.91,1547.4,0,0.0,261
CL000090,2024-12,77051.8,80.5,0,0.0,7
CL000092,2024-12,112386.9,124.4,0,0.0,18
CL000093,2024-12,72360.74,68.4,0,0.0,12
CL000096,2024-12,201512.1,231.2,0,0.0,24
CL000097,2024-12,147867.58,142.5,0,0.0,10
CL000098,2024-12,52517.41,62.2,0,0.0,10
CL000099,2024-12,435846.55,568.3,0,0.0,30
CL000101,2024-12,105687.72,65.9,0,0.0,5
CL000102,2024-12,77904.73,80.8,0,0.0,14
CL000104,2024-12,97020.19,101.4,0,0.0,16
CL000105,2024-12,168210.25,152.2,1,0.0,6
CL000106,2024-12,164440.93,143.4,0,198.39,25
CL000108,2024-12,97549.57,105.7,0,0.0,21
CL000110,2024-12,757154.9,923.7,0,0.0,182
CL000111,2024-12,14272.65,16.1,4,1624.54,8
CL000112,2024-12,978658.98,776.8,0,0.0,294
CL000113,2024-12,143530.56,118.7,1,0.0,10
CL000114,2024-12,68430.34,72.7,1,1234.11,19
CL000115,2024-12,2892.11,3.3,1,0.0,7
CL000117,2024-12,264797.45,257.6,1,0.0,20
CL000118,2024-12,17932.92,16.1,2,0.0,7
CL000119,2024-12,74308.14,80.8,0,0.0,14
CL000124,2024-12,266462.44,185.8,0,0.0,95
CL000125,2024-12,199454.97,134.9,0,0.0,7
CL000126,2024-12,153054.31,126.6,0,0.0,13
CL000129,2024-12,469679.9,373.3,0,0.0,44
CL000132,2024-12,21058.51,16.8,0,2249.48,9
CL000133,2024-12,136491.97,139.8,0,0.0,20
CL000135,2024-12,243563.92,272.8,0,0.0,10
CL000136,2024-12,78341.94,75.6,1,0.0,15
CL000138,2024-12,764.21,0.9,0,2078.06,3
CL000144,2024-12,707234.56,598.0,0,454.68,54
CL000145,2024-12,101212.16,104.7,0,0.0,10
CL000146,2024-12,58914.56,64.9,0,0.0,5
CL000148,2024-12,1605383.67,1737.2,0,0.0,165
CL000150,2024-12,102920.1,104.9,1,0.0,25
CL000151,2024-12,266375.98,368.8,0,0.0,11
CL000152,2024-12,73072.13,97.8,0,0.0,17
CL000154,2024-12,36583.18,37.3,0,0.0,11
CL000156,2024-12,54496.05,65.9,0,0.0,17
CL000157,2024-12,871993.36,1103.9,0,0.0,221
CL000160,2024-12,153942.03,149.8,0,0.0,21
CL000161,2024-12,365686.86,285.9,0,0.0,167
CL000162,2024-12,597653.63,562.4,2,0.0,154
CL000163,2024-12,124589.47,159.5,0,0.0,16
CL000164,2024-12,232172.56,199.8,0,0.0,13
CL000165,2024-12,267116.33,307.1,1,0.0,20
CL000166,2024-12,139644.31,123.6,0,0.0,17
CL000167,2024-12,78508.71,76.7,0,0.0,26
CL000168,2024-12,1098814.8,1036.7,0,0.0,234
CL000169,2024-12,498045.34,468.2,0,0.0,131
CL000170,2024-12,310890.7,337.2,0,0.0,13
CL000172,2024-12,437629.84,472.0,0,0.0,25
CL000174,2024-12,109308.41,119.7,0,0.0,5
CL000175,2024-12,444790.66,452.0,0,0.0,256
CL000178,2024-12,62721.84,60.9,0,0.0,21
CL000179,2024-12,491104.31,483.0,0,0.0,130
