client_id,month,revenue,traffic_gb,n_tickets,debt,n_sim
CL000001,2025-05,1635927.23,1708.3,0,0.0,70
CL000002,2025-05,1200290.22,1406.3,1,0.0,90
CL000004,2025-05,96535.04,145.0,0,1420.05,16
CL000006,2025-05,130152.68,117.6,0,0.0,25
CL000007,2025-05,272477.92,328.8,0,0.0,10
CL000008,2025-05,476689.11,416.0,0,0.0,50
CL000012,2025-05,75277.05,54.3,1,0.0,7
CL000013,2025-05,104651.09,137.1,0,0.0,22
CL000014,2025-05,52547.18,48.9,0,2384.99,6
CL000015,2025-05,164520.63,182.0,0,0.0,12
CL000016,2025-05,127143.72,132.0,0,0.0,7
CL000017,2025-05,1127799.06,966.1,0,0.0,115
CL000020,2025-05,806679.73,846.4,3,0.0,113
CL000021,2025-05,298695.54,230.3,1,0.0,49
CL000022,2025-05,1220661.96,1319.5,0,0.0,199
CL000024,2025-05,891173.53,814.3,0,0.0,173
CL000025,2025-05,236071.48,318.9,0,0.0,217
CL000026,2025-05,571253.58,645.1,0,960.75,61
CL000027,2025-05,26560.01,24.3,1,1162.4,4
CL000028,2025-05,129124.85,132.5,1,0.0,16
CL000030,2025-05,724813.59,689.2,0,0.0,282
CL000031,2025-05,78812.98,87.6,0,0.0,9
CL000032,2025-05,74784.22,83.4,1,1286.44,28
CL000033,2025-05,84702.27,87.0,1,0.0,4
CL000034,2025-05,437067.36,442.8,1,0.0,81
CL000036,2025-05,571937.33,614.7,0,0.0,258
CL000037,2025-05,38848.67,38.4,1,0.0,21
CL000038,2025-05,120629.5,93.3,0,0.0,18
CL000039,2025-05,631662.3,548.8,0,0.0,135
CL000040,2025-05,156804.5,154.0,1,0.0,6
CL000041,2025-05,130647.61,135.1,0,0.0,22
CL000042,2025-05,503694.66,456.1,0,2168.35,73
CL000044,2025-05,839303.43,905.6,0,0.0,280
CL000045,2025-05,459060.8,478.2,0,0.0,61
CL000046,2025-05,519506.52,483.1,0,0.0,240
CL000047,2025-05,275243.85,283.1,0,0.0,191
CL000051,2025-05,499964.66,427.4,0,0.0,113
CL000052,2025-05,765578.73,624.3,1,0.0,119
CL000054,2025-05,54039.07,64.2,1,0.0,67
CL000055,2025-05,237521.08,215.6,0,0.0,20
CL000056,2025-05,324654.49,342.7,1,0.0,215
CL000057,2025-05,648423.34,626.3,0,0.0,128
CL000058,2025-05,68140.21,78.5,0,0.0,22
CL000059,2025-05,120513.31,127.2,0,0.0,19
CL000061,2025-05,651474.31,571.6,0,0.0,130
CL000062,2025-05,109735.63,105.5,0,0.0,18
CL000064,2025-05,329950.0,316.3,1,0.0,156
CL000065,2025-05,28539.18,33.2,0,1432.48,19
CL000066,2025-05,31611.39,28.7,0,0.0,20
CL000069,2025-05,325307.3,372.3,0,0.0,149
CL000070,2025-05,41058.27,39.2,0,0.0,119
CL000073,2025-05,797779.68,894.8,0,0.0,272
CL000074,2025-05,1145038.45,1069.1,1,0.0,57
CL000076,2025-05,45798.19,39.8,0,0.0,16
CL000078,2025-05,1145235.06,935.4,0,1786.92,138
CL000079,2025-05,316243.61,360.1,0,0.0,192
CL000080,2025-05,762763.67,736.6,0,421.88,184
CL000082,2025-05,524896.62,458.5,0,0.0,134
CL000085,2025-05,1306502.94,1440.2,0,0.0,263
CL000090,2025-05,58413.77,65.1,0,0.0,7
CL000091,2025-05,74680.03,79.0,0,0.0,15
CL000092,2025-05,132106.5,132.7,1,0.0,17
CL000093,2025-05,63689.84,64.8,0,0.0,11
CL000096,2025-05,209395.21,196.7,1,0.0,21
CL000097,2025-05,137992.8,133.0,1,0.0,9
CL000098,2025-05,9900.48,9.8,0,1322.46,6
CL000099,2025-05,420984.86,396.7,0,0.0,31
CL000101,2025-05,128209.51,101.6,0,0.0,5
CL000102,2025-05,71078.59,89.4,1,0.0,15
CL000103,2025-05,153335.34,114.6,0,0.0,18
CL000104,2025-05,96976.07,99.6,0,0.0,15
CL000105,2025-05,182562.16,170.1,0,0.0,8
CL000106,2025-05,169920.77,160.5,0,0.0,23
CL000108,2025-05,94363.63,124.4,0,0.0,23
CL000109,2025-05,26123.67,27.8,1,653.49,17
CL000110,2025-05,826843.02,945.8,0,0.0,201
CL000112,2025-05,886759.08,820.2,1,0.0,299
CL000117,2025-05,2043.5,2.0,1,1239.59,8
CL000119,2025-05,69886.19,56.4,0,0.0,15
CL000120,2025-05,417957.36,380.2,0,0.0,84
CL000121,2025-05,27251.2,28.5,0,0.0,9
CL000124,2025-05,541577.81,533.7,0,0.0,97
CL000125,2025-05,184208.5,166.8,0,0.0,7
CL000126,2025-05,123062.79,109.4,0,1339.21,14
