client_id,month,revenue,traffic_gb,n_tickets,debt,n_sim
CL000001,2025-08,1436087.09,1137.0,0,0.0,69
CL000002,2025-08,57085.1,51.2,1,1724.81,63
CL000004,2025-08,100494.89,91.0,0,0.0,16
CL000006,2025-08,131793.78,112.6,0,0.0,24
CL000007,2025-08,217430.1,260.5,1,1625.37,8
CL000008,2025-08,589213.75,546.2,1,0.0,48
CL000009,2025-08,1092752.47,1105.5,0,0.0,286
CL000012,2025-08,2330.39,2.6,3,0.0,3
CL000013,2025-08,90150.68,79.9,1,0.0,22
CL000015,2025-08,167829.93,224.0,0,0.0,12
CL000016,2025-08,126869.11,101.9,0,0.0,6
CL000017,2025-08,1036430.3,1121.9,1,0.0,116
CL000018,2025-08,67782.74,57.4,1,0.0,8
CL000021,2025-08,255696.37,255.7,1,0.0,46
CL000022,2025-08,791469.81,831.3,0,0.0,164
CL000023,2025-08,23017.66,25.1,2,1422.56,9
CL000024,2025-08,933934.73,779.2,0,0.0,169
CL000025,2025-08,250375.25,261.4,0,1684.94,204
CL000026,2025-08,572279.31,408.7,0,0.0,62
CL000028,2025-08,125037.71,116.0,1,0.0,16
CL000030,2025-08,833238.84,791.8,0,0.0,298
CL000031,2025-08,88016.36,82.9,0,0.0,9
CL000033,2025-08,2165.6,1.6,5,0.0,2
CL000034,2025-08,385077.73,425.2,1,0.0,79
CL000036,2025-08,102447.88,118.0,0,0.0,96
CL000037,2025-08,44236.46,45.7,0,0.0,21
CL000038,2025-08,5691.52,5.9,2,1291.45,8
CL000039,2025-08,569317.47,542.7,0,0.0,124
CL000041,2025-08,140530.02,125.7,0,0.0,20
CL000042,2025-08,18271.09,13.7,1,0.0,55
CL000043,2025-08,42533.73,37.1,0,0.0,18
CL000044,2025-08,828796.65,777.4,2,0.0,306
CL000045,2025-08,292311.77,348.3,0,0.0,47
CL000046,2025-08,618203.31,726.9,0,0.0,233
CL000047,2025-08,342337.14,304.5,0,0.0,179
CL000048,2025-08,270156.61,335.6,0,0.0,89
CL000051,2025-08,467357.24,466.6,0,0.0,121
CL000052,2025-08,792163.87,868.5,1,0.0,123
CL000055,2025-08,235214.95,193.5,0,0.0,20
CL000056,2025-08,292873.22,318.4,0,0.0,204
CL000057,2025-08,757351.22,598.6,0,0.0,139
CL000058,2025-08,66462.38,71.3,0,0.0,25
CL000059,2025-08,111905.75,109.6,0,0.0,21
CL000061,2025-08,634355.83,665.5,0,0.0,136
CL000062,2025-08,96516.42,100.2,0,0.0,17
CL000064,2025-08,301524.63,292.1,0,0.0,158
CL000065,2025-08,64026.54,64.6,0,1567.73,17
CL000066,2025-08,29131.96,32.0,1,0.0,18
CL000068,2025-08,470643.41,461.7,0,0.0,170
CL000069,2025-08,304721.51,250.8,0,0.0,145
CL000070,2025-08,281.28,0.3,0,0.0,46
CL000071,2025-08,364184.86,380.6,0,531.82,93
CL000073,2025-08,727180.04,814.3,0,0.0,279
CL000074,2025-08,1182423.85,1378.2,2,0.0,55
CL000075,2025-08,145699.63,125.2,1,0.0,10
CL000076,2025-08,51492.93,46.7,0,0.0,17
CL000078,2025-08,174488.31,188.2,2,0.0,43
CL000079,2025-08,316130.2,396.2,1,0.0,202
CL000080,2025-08,560390.96,507.7,0,0.0,195
CL000082,2025-08,470481.83,493.4,0,0.0,134
CL000084,2025-08,672542.95,695.4,1,0.0,138
CL000085,2025-08,1428152.56,1529.6,0,0.0,260
CL000090,2025-08,60387.23,53.1,0,0.0,7
CL000091,2025-08,75172.86,81.0,0,0.0,16
CL000092,2025-08,137004.2,127.8,0,0.0,18
CL000093,2025-08,66648.74,46.4,1,0.0,12
CL000094,2025-08,136646.96,111.8,1,0.0,20
CL000096,2025-08,213020.47,181.5,0,0.0,21
CL000097,2025-08,155322.14,155.7,0,0.0,11
CL000099,2025-08,469267.66,350.9,0,0.0,29
CL000101,2025-08,134520.97,128.1,1,0.0,5
CL000102,2025-08,79675.31,97.4,1,0.0,15
CL000103,2025-08,176911.55,241.1,0,0.0,18
CL000104,2025-08,90712.6,95.7,0,0.0,15
CL000105,2025-08,203004.15,194.1,1,0.0,7
CL000106,2025-08,181889.25,121.7,1,0.0,25
CL000107,2025-08,139697.82,161.7,0,0.0,18
CL000108,2025-08,67658.88,76.2,0,0.0,22
CL000109,2025-08,481.5,0.6,2,1289.72,7
CL000110,2025-08,908712.91,899.4,0,0.0,205
CL000112,2025-08,889937.24,1097.1,1,0.0,286
CL000116,2025-08,738403.41,571.8,0,0.0,152
CL000119,2025-08,74843.25,70.6,0,0.0,14
CL000120,2025-08,417662.48,328.2,0,0.0,77
CL000121,2025-08,43605.56,39.5,0,536.12,10
CL000122,2025-08,219477.34,260.3,0,0.0,248
CL000124,2025-08,561542.44,560.1,0,0.0,92
CL000125,2025-08,157604.89,134.8,0,0.0,7
CL000126,2025-08,127529.66,144.8,0,0.0,15
CL000129,2025-08,429090.95,429.8,0,0.0,47
CL000133,2025-08,150532.38,127.2,0,0.0,20
CL000135,2025-08,246252.08,245.9,0,0.0,10
CL000136,2025-08,9102.76,10.2,0,0.0,3
CL000137,2025-08,3275.54,3.5,3,1980.31,108
CL000139,2025-08,930220.28,873.5,0,0.0,47
CL000141,2025-08,86419.06,91.9,1,847.88,9
CL000143,2025-08,793252.02,662.4,0,0.0,239
CL000144,2025-08,559920.44,639.5,0,0.0,50
CL000145,2025-08,87875.05,69.1,0,381.9,9
CL000146,2025-08,5020.77,3.8,1,0.0,2
CL000147,2025-08,125108.72,124.6,1,0.0,45
CL000148,2025-08,1920244.44,1982.9,0,0.0,175
CL000150,2025-08,110902.01,93.5,0,0.0,23
CL000151,2025-08,258628.2,291.5,0,0.0,10
CL000152,2025-08,87978.36,84.5,0,0.0,18
CL000153,2025-08,86613.9,88.1,0,0.0,22
CL000154,2025-08,5539.21,6.3,0,571.4,6
CL000155,2025-08,4607.77,4.7,1,0.0,9
CL000156,2025-08,57161.31,62.7,0,0.0,17
CL000159,2025-08,114303.62,101.0,0,0.0,15
CL000160,2025-08,106736.09,117.0,0,0.0,23
CL000161,2025-08,325137.12,381.8,0,0.0,162
CL000164,2025-08,234188.58,207.7,1,0.0,15
CL000165,2025-08,3467.57,4.3,2,0.0,2
CL000167,2025-08,97397.59,104.2,0,0.0,25
CL000168,2025-08,973369.66,1040.4,0,0.0,245
