client_id,month,revenue,traffic_gb,n_tickets,debt,n_sim
CL000001,2024-05,2095650.24,1498.2,0,0.0,70
CL000002,2024-05,2020938.45,2294.8,1,0.0,111
CL000003,2024-05,8192.09,9.1,3,0.0,6
CL000006,2024-05,148111.1,141.3,0,0.0,23
CL000007,2024-05,167355.38,133.8,1,0.0,10
CL000008,2024-05,403191.78,294.6,0,0.0,49
CL000010,2024-05,100316.12,115.3,0,0.0,20
CL000013,2024-05,103578.51,112.3,0,0.0,21
CL000014,2024-05,182145.92,159.8,0,0.0,10
CL000015,2024-05,105975.72,102.5,0,0.0,11
CL000016,2024-05,119390.64,94.9,0,0.0,6
CL000017,2024-05,1049981.07,1118.0,0,0.0,119
CL000020,2024-05,1560752.56,1627.6,0,903.28,182
CL000021,2024-05,400895.01,427.0,0,0.0,52
CL000025,2024-05,145319.12,205.9,1,0.0,234
CL000026,2024-05,586691.8,622.7,0,0.0,64
CL000027,2024-05,139178.51,131.3,1,0.0,7
CL000028,2024-05,122421.57,108.4,0,0.0,16
CL000030,2024-05,868144.69,1126.0,0,0.0,273
CL000031,2024-05,88852.59,100.1,0,0.0,9
CL000033,2024-05,88044.24,115.2,0,0.0,5
CL000034,2024-05,528753.6,480.1,1,0.0,79
CL000036,2024-05,604181.99,476.7,0,0.0,261
CL000037,2024-05,38519.48,40.4,0,0.0,20
CL000038,2024-05,105384.03,123.9,0,0.0,19
CL000039,2024-05,557694.7,600.9,0,0.0,119
CL000040,2024-05,231269.26,249.5,0,0.0,8
CL000041,2024-05,131158.32,88.7,0,0.0,20
CL000042,2024-05,802061.15,801.0,0,0.0,96
CL000044,2024-05,788523.14,663.5,0,0.0,272
CL000045,2024-05,487137.51,555.2,0,0.0,58
CL000046,2024-05,604884.79,630.2,0,0.0,255
CL000047,2024-05,307920.85,343.5,0,0.0,173
CL000052,2024-05,609153.83,563.3,0,0.0,116
CL000053,2024-05,98589.58,101.6,0,1192.97,7
CL000054,2024-05,400131.69,330.0,0,955.19,176
CL000055,2024-05,255247.83,255.9,0,0.0,20
CL000057,2024-05,643117.02,707.9,0,0.0,138
CL000058,2024-05,41876.57,39.3,0,0.0,23
CL000060,2024-05,165293.18,147.1,0,0.0,10
CL000061,2024-05,912140.3,1071.7,0,0.0,147
CL000062,2024-05,125344.15,118.5,1,0.0,18
CL000063,2024-05,1237.77,1.5,2,1626.59,5
CL000064,2024-05,509671.07,497.2,0,0.0,160
CL000066,2024-05,52904.09,52.2,0,0.0,18
CL000067,2024-05,51466.15,66.3,1,0.0,10
CL000069,2024-05,602792.82,437.6,1,0.0,146
CL000070,2024-05,115058.17,86.5,0,0.0,163
CL000072,2024-05,462741.63,406.1,1,0.0,267
CL000073,2024-05,659331.82,571.6,1,0.0,295
CL000074,2024-05,1339061.51,1321.0,1,0.0,56
CL000076,2024-05,50553.06,43.6,0,0.0,16
CL000079,2024-05,299335.41,330.5,0,0.0,211
CL000082,2024-05,580857.78,647.7,1,0.0,131
CL000085,2024-05,1472600.45,1093.5,1,0.0,264
CL000086,2024-05,197200.96,207.4,0,0.0,5
CL000090,2024-05,95629.45,58.7,0,0.0,7
CL000092,2024-05,138608.81,143.6,0,0.0,17
CL000093,2024-05,74607.84,84.9,0,0.0,12
CL000096,2024-05,207687.03,138.4,0,0.0,23
CL000097,2024-05,167215.43,133.6,0,0.0,10
CL000098,2024-05,54326.03,63.2,0,0.0,10
CL000099,2024-05,487895.98,705.2,1,0.0,31
CL000100,2024-05,124802.75,117.5,0,0.0,10
CL000101,2024-05,87411.6,80.1,0,0.0,5
CL000102,2024-05,84946.09,103.7,0,0.0,16
CL000104,2024-05,120190.69,104.6,0,0.0,14
CL000106,2024-05,166051.79,175.1,0,0.0,24
CL000110,2024-05,636402.61,651.9,0,0.0,207
CL000111,2024-05,97844.65,64.4,2,0.0,16
CL000112,2024-05,1139518.74,1235.5,0,0.0,307
CL000113,2024-05,176414.6,206.4,0,0.0,12
CL000114,2024-05,90122.22,118.2,0,0.0,24
CL000117,2024-05,264673.68,217.8,0,0.0,20
CL000118,2024-05,204230.89,154.8,0,0.0,13
CL000119,2024-05,76407.01,72.1,0,0.0,16
CL000126,2024-05,136501.14,113.0,0,0.0,15
CL000129,2024-05,552056.14,619.6,0,0.0,42
CL000132,2024-05,89753.12,69.2,0,0.0,15
CL000133,2024-05,130522.11,172.1,0,0.0,19
CL000134,2024-05,77776.58,64.5,1,0.0,10
CL000135,2024-05,203351.59,231.3,0,0.0,10
CL000136,2024-05,80876.27,67.7,0,0.0,15
CL000138,2024-05,66222.34,65.6,0,0.0,18
CL000144,2024-05,586090.99,505.8,0,0.0,52
CL000145,2024-05,107524.47,103.3,0,0.0,9
CL000146,2024-05,48715.9,37.1,0,0.0,5
CL000148,2024-05,1659362.36,2009.9,0,0.0,180
CL000150,2024-05,85631.72,97.4,0,0.0,23
CL000152,2024-05,87012.18,96.6,0,0.0,17
CL000154,2024-05,39087.24,43.3,1,0.0,11
CL000157,2024-05,786231.63,678.8,0,0.0,222
CL000160,2024-05,68505.51,65.9,0,0.0,21
CL000161,2024-05,440983.49,397.5,0,0.0,164
CL000162,2024-05,1941915.15,1933.3,0,0.0,237
CL000163,2024-05,123021.37,107.0,1,0.0,16
CL000164,2024-05,227034.24,246.9,0,0.0,15
CL000165,2024-05,279516.66,227.1,0,0.0,20
CL000166,2024-05,150629.36,176.4,1,0.0,18
CL000167,2024-05,81662.47,71.7,0,0.0,24
CL000168,2024-05,1283401.94,1122.6,1,0.0,216
CL000169,2024-05,515949.79,433.2,0,0.0,121
CL000170,2024-05,294589.27,361.3,0,0.0,12
CL000172,2024-05,363710.37,408.1,0,0.0,26
CL000174,2024-05,102290.58,97.9,0,0.0,5
CL000178,2024-05,63408.33,81.4,0,0.0,20
CL000179,2024-05,531154.14,464.0,1,0.0,127
CL000180,2024-05,1973075.58,1288.9,1,0.0,129
CL000181,2024-05,127566.87,91.9,0,0.0,7
CL000183,2024-05,226565.65,212.5,1,0.0,175
CL000185,2024-05,87332.17,94.2,0,0.0,24
CL000186,2024-05,262385.54,241.4,0,0.0,197
CL000187,2024-05,126329.74,94.1,1,905.02,20
CL000189,2024-05,129029.43,123.9,0,0.0,14
CL000190,2024-05,1397751.8,1207.4,0,0.0,51
CL000191,2024-05,401533.2,278.6,0,0.0,153
CL000192,2024-05,175572.53,165.4,1,0.0,26
CL000193,2024-05,79726.67,70.6,0,0.0,18
CL000196,2024-05,142608.65,150.9,0,0.0,9
CL000197,2024-05,400433.33,360.6,2,0.0,97
CL000198,2024-05,67850.84,60.4,0,0.0,11
CL000199,2024-05,137418.02,121.3,1,0.0,5
CL000204,2024-05,515076.21,561.1,0,2072.36,321
CL000205,2024-05,455992.72,425.4,0,0.0,19
CL000206,2024-05,114834.92,128.0,0,0.0,10
CL000207,2024-05,203462.71,225.7,0,0.0,25
CL000210,2024-05,101669.77,79.3,0,0.0,15
CL000211,2024-05,88659.8,91.9,0,0.0,15
CL000212,2024-05,1663956.03,1968.0,0,0.0,44
CL000213,2024-05,93859.87,80.3,0,0.0,23
CL000215,2024-05,106805.14,131.0,0,0.0,5
CL000216,2024-05,98830.48,100.4,0,0.0,7
CL000217,2024-05,675666.49,550.8,3,0.0,210
CL000219,2024-05,1051049.61,881.0,0,0.0,97
CL000220,2024-05,70661.31,71.7,0,0.0,26
CL000221,2024-05,145122.99,111.1,0,0.0,10
CL000222,2024-05,452175.59,544.5,0,0.0,127
CL000223,2024-05,72868.14,68.2,0,0.0,7
CL000224,2024-05,640386.92,637.9,0,0.0,140
CL000229,2024-05,92912.94,113.6,1,0.0,20
CL000230,2024-05,885602.78,653.5,0,0.0,146
CL000231,2024-05,1725109.88,1629.0,0,0.0,119
CL000232,2024-05,48145.32,45.9,0,0.0,10
CL000236,2024-05,140807.97,121.8,1,0.0,15
CL000237,2024-05,866705.56,769.0,0,0.0,41
CL000238,2024-05,34504.94,32.4,0,0.0,6
CL000239,2024-05,58288.33,67.8,0,0.0,20
CL000240,2024-05,1021314.03,994.8,0,0.0,159
CL000242,2024-05,122755.98,128.9,1,0.0,22
CL000243,2024-05,720919.69,539.9,0,0.0,102
CL000244,2024-05,1968055.04,2159.4,0,0.0,107
CL000245,2024-05,1223597.91,1284.5,1,0.0,174
CL000247,2024-05,171180.62,220.2,0,0.0,22
CL000248,2024-05,134802.17,153.0,0,0.0,8
CL000251,2024-05,1863363.82,1811.0,0,0.0,185
CL000256,2024-05,1381986.63,1455.1,0,36.11,52
CL000257,2024-05,146677.64,134.2,0,0.0,19
CL000258,2024-05,431523.67,485.6,0,0.0,234
CL000260,2024-05,381113.84,459.0,1,0.0,273
CL000264,2024-05,85810.65,89.8,0,0.0,230
CL000265,2024-05,1395848.47,1307.5,1,0.0,284
CL000267,2024-05,435252.63,517.4,0,0.0,218
CL000268,2024-05,107302.5,129.4,2,0.0,19
CL000269,2024-05,58459.89,49.6,1,0.0,19
CL000270,2024-05,841677.91,620.5,1,0.0,136
CL000271,2024-05,180000.51,98.2,0,0.0,15
CL000273,2024-05,180282.7,138.3,1,0.0,10
CL000275,2024-05,96471.79,83.5,0,0.0,7
CL000277,2024-05,97605.98,108.2,0,0.0,16
CL000279,2024-05,113750.86,133.0,0,0.0,17
CL000280,2024-05,95499.45,79.1,0,0.0,11
CL000281,2024-05,618959.46,599.7,0,0.0,103
CL000282,2024-05,395371.96,393.0,0,0.0,230
CL000284,2024-05,36609.22,34.5,0,0.0,21
CL000285,2024-05,55454.04,58.6,0,0.0,19
CL000287,2024-05,168745.15,167.3,0,0.0,6
CL000288,2024-05,188231.99,170.1,0,0.0,16
CL000289,2024-05,92303.13,97.1,1,0.0,6
CL000290,2024-05,328254.03,259.4,1,0.0,13
CL000291,2024-05,81003.2,81.7,0,0.0,12
CL000292,2024-05,1236056.5,949.1,0,0.0,263
